product_name,product_price,Rate,Review,Summary,Sentiment
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,good quality product,good cuality,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,wonderful,super product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,value-for-money,as expected ,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,2,not good,meteriyal is not good but very comfortable,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,best in the market!,god,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,fabulous!,very nice product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,brilliant,bast,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,delightful,nice product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,nice product,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,just okay,nice fleeting,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,wonderful,good product and very comfortable to wear that so thank you flip kart ,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,awesome,very good product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,worth every penny,good product snugly fits worth buying,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,excellent,very good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,simply awesome,very good ,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,mind-blowing purchase,good products,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,must buy!,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,best in the market!,nice,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,terrific purchase,very good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,worth every penny,very good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,really nice,very good product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,just wow!,its a really good product for playing cricket,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,terrific purchase,super,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,great product,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,terrific,so nice sexy look,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,decent product,super,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,classy product,i have been using d ath support for d last 3540 yrsbut sportsoul brand find very comfortable,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,terrific,superb fine,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,brilliant,super,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,1,waste of money!,size problem but quality is o o ok type,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,value-for-money,so far very good experience but stiching very delicate,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,mind-blowing purchase,size and fittings perfect product is pure cotton onlything is elastic looses very fast,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,"black color is not good.. size, fitting and elastic are good",only grey color is good dont buy blackcolor bcoz it is loosing black each time when i wash itits irritating to get lot of black color in each timesince 3 weeks i buy im still getting the black colorso better buy grey colorand size and fitting are good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,nice,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,just okay,nice,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,value-for-money,comfortable nice one,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,best in the market!,photocopy and original material difference,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,fair,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,terrific,excellent product,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,wonderful,comfortable,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,awesome,very good ,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,good quality product,pretty good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,3,good,good,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,5,worth every penny,nice,positive
SportSoul Cotton Gym & Athletic Abdomen Support??????????(Blue),449,4,good choice,nice product,positive
