product_name,product_price,Rate,Review,Summary,Sentiment
"SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Camellia Blue, RR21T2H2WCU/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????17990,1,Very poor,problems 1 it gets auto defrost randomly anytime 2 water droplets spils from freezer 3 lot of ice gets accumulated in freezer4 sometimes cooling is not there 5 not sure about its 5 star rating could be a fuss6 tray and interiors are delicate can very easily breakgood points 1 looks good in your room or kitchen nothing else after 15 days of use,positive
"SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Gray Silver, RT28C3032GS/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????22890,2,Moderate,freeze segment is tooo large so cooling segment remain less space ,positive
"SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Camellia Blue, RR21C2H25CU/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????17990,3,Nice,warranty sticker is not present when its run drrrrrrr sounds is higher otherwise nearly silent not sure about power consumption delivery package was very very good using freezer is not good and easy as auto frost free refrigerator in this refrigerator containers stuck with freezer base after disconnecting power for few minutes collecting box is easy,positive
"SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Elegant Inox, RT28T3743S8/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????26290,3,Just okay,everything is goodworking fine but it is silly that the refrigerator doesnt hav a lock ,positive
"Godrej 180 L Direct Cool Single Door 2 Star Refrigerator?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Dermin Blue, RD EDGE 205B WRF DR BL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????12490,3,Decent product,refrigerator working fine but top and side view plastic colour sheet not metal anyway ok value of money thank you filpkartworking nice look nice,positive
"Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Gardenia Blue, GLDF214SS1PB)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????14490,3,Decent product,it seems like a very basic version without even a handle space management inside fridge is just average,positive
"Godrej 190 L Direct Cool Single Door 5 Star Refrigerator  with Base Drawer and Intelligent Inverter Compressor?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Glass Blue, RD 1905 PTDI 53 GL BL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????16490,3,Decent product,compressor sound and refrigerant flow sound are higher than other same category different company productmaintenance person told me its due to different type of refrigerant in useall together refrigerator working good,positive
"SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, Curd Maestro + BSD?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(MIDNIGHT BLOSSOM BLACK, RR23A2K3XBZ/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????19990,3,Just okay,the product is good value for money got delivered on timebut the installation services are pathetic its been more than one week the product is delivered and while ordering the product flipkart assured an installation service from samsung even the delivery partners confirmed the same then i contacted flipkart first response was why do you need an installation service for the product i mean why notthen i explained why a product like refrigerator which is heavy and with touch con,positive
"SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Gray Silver, RT28C3032GS/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????22890,3,Just okay,some times making a big sound than that nothing negative,positive
"SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter?ü?ü???ü?ü???????ü?ü?????ü?????ˇ?ü?ü???ü?ü???????ü?ü?????ü?????ˇ(Gray Silver, RT28C3032GS/HL)",?ü?ü???ü?ü?????õ?ü?ü?????ü???????ü?ü?????ü??????22890,3,Decent product,the looks and the colour is awesome but there is no light in the top ie the freezer section,positive
